기준일ID,시간대구분,시군구명,읍면동명,총생활인구수,남자 10대,남자 20대,남자 30대,남자 40대,남자 50대,남자 60대,남자 70대,여자 10대,여자 20대,여자 30대,여자 40대,여자 50대,여자 60대,여자 70대
평일(7월5일),0,노원구,상계5동,24881.9944,784.193,749.1722,810.1716,972.1525,933.5171,612.3564,1328.4321,807.5149,801.0325,793.9167,1178.6043,1188.1973,740.979,2256.8124
평일(7월5일),0,노원구,상계6.7동,35772.0687,1017.262,1001.5691,1368.7459,1442.1318,1058.4653,680.7266,1210.3443,974.2327,1191.066,1524.6196,1599.9331,1327.6464,930.1699,3185.597
평일(7월5일),0,노원구,상계8동,21879.2678,672.0615,474.5703,1031.6972,759.7357,591.3415,413.7824,719.0961,617.6034,633.3527,1153.6667,976.1639,782.6913,462.5339,1277.6169
평일(7월5일),0,노원구,상계9동,24931.5776,945.2736,600.0085,879.7619,1025.3405,776.1947,601.4867,1030.7922,837.9937,634.5085,1057.2693,1304.6732,1146.4536,495.8998,1670.877
평일(7월5일),0,노원구,상계10동,12431.4061,423.7874,389.828,483.8709,431.3021,407.4978,333.8215,498.9559,426.8644,451.7594,501.9827,599.8965,507.6853,344.2238,845.2929
평일(7월5일),0,은평구,녹번동,37533.6985,814.2426,1072.4356,1570.33,1440.9127,1324.7697,724.7864,2081.9197,889.326,1391.596,1615.1385,1434.1222,1754.934,1281.4116,3417.0819
평일(7월5일),0,은평구,불광제1동,40011.8348,939.9284,1122.368,1546.0676,1441.1881,1219.6361,904.4244,2368.1504,847.3929,1341.9328,1692.3997,1737.8845,1779.1353,1280.2523,4075.911
평일(7월5일),0,은평구,불광제2동,28597.0577,693.3214,894.3479,1088.3831,1072.9702,1024.6857,638.9785,1658.8769,738.6617,1077.3768,1041.1146,1187.9873,1367.306,891.2801,2624.5408
평일(7월5일),0,은평구,갈현제1동,25117.6392,752.4294,935.5705,856.0079,889.5857,875.3809,547.1969,1328.8128,729.7918,1007.7077,916.4275,1168.7497,1156.6682,801.5802,2237.5276
평일(7월5일),0,은평구,갈현제2동,32886.4876,947.1629,1188.5443,1442.8145,1157.8782,1072.5178,702.603,1576.9124,1049.5434,1352.3943,1233.679,1450.8997,1434.1422,1022.4091,2425.9982
평일(7월5일),0,은평구,구산동,32292.1576,974.8274,877.1521,1077.1529,1242.1981,1148.8546,904.1771,1611.5802,1133.0885,1164.2355,1260.5506,1409.1572,1461.263,908.1701,2831.5758
