사업장명,소재지전체주소,시군구명,읍면동명,소재지면적,시설총규모,전화번호,위치정보(X),위치정보(Y)
치어스,"서울특별시 노원구 중계동 506번지 브라운스톤 142, 143호",노원구,중계동,72.28,72.28,,205673.7261,460030.6622
엘리팝(중계브라운스톤점),서울특별시 노원구 중계동 506번지 브라운스톤 148호.149호 ,노원구,중계동,79,79,232963484,205673.7261,460030.6622
을지로골뱅이,서울특별시 노원구 중계동 506번지 브라운스톤 154호,노원구,중계동,39.52,39.52,62235084,205673.7261,460030.6622
비어탭세븐,서울특별시 노원구 중계동 506번지 브라운스톤284~286 ,노원구,중계동,117.65,117.65,62310202,205673.7261,460030.6622
둘둘치킨,"서울특별시 노원구 중계동 506번지 중계브라운스톤상가 150,151호 ",노원구,중계동,72.3,72.3,,205673.7261,460030.6622
멕시칸치킨,서울특별시 노원구 중계동 511-2번지 목화4단지상가 107호,노원구,중계동,26.52,26.52,209783321,206070.2456,460549.1365
아리네포차,서울특별시 노원구 중계동 511-2번지 시영4단지상가 107-3호,노원구,중계동,22,22,,206268.8369,460512.3252
빅브라더치킨,"서울특별시 노원구 중계동 512번지 무지개아파트 상가동 107, 107-1호 ",노원구,중계동,47.29,47.29,02  948 5999,205807.5366,460441.9362
BHC중계점,"서울특별시 노원구 중계동 512번지 중계무지개아파트2단지상가,유치원 상가동 지하6호",노원구,중계동,24.75,24.75,02  926 9292,205807.5366,460441.9362
멕켄치킨,서울특별시 노원구 중계동 514-3번지 시영3단지상가 108호,노원구,중계동,24.79,24.79,29743700,206162.0096,460948.8029
B.H.C.치킨 중계수암점,서울특별시 노원구 중계동 58-16번지 ,노원구,중계동,30.6,30.6,02 9372077,207243.5248,460863.2738
옛날통닭1번지,서울특별시 노원구 중계동 58-20번지 105호,노원구,중계동,60,60,951 7279,207243.5248,460863.2738
동네술집,서울특별시 노원구 중계동 592번지 벽산아파트상가 104호,노원구,중계동,21.6,21.6,,206512.7721,461688.0684
치킨마루상계제일점,서울특별시 노원구 중계동 597번지 경남아너스빌 102동 -6호,노원구,중계동,20.28,20.28,,206718.4481,462496.7004
어부야,서울특별시 노원구 중계동 62-7번지 ,노원구,중계동,66.95,66.95,9514002,207247.5551,460742.5336
그린시티호프치킨,서울특별시 노원구 중계동 62-7번지 상명타운 ,노원구,중계동,31.8,31.8,02 9348041,207247.5551,460742.5336
치킨마루,서울특별시 노원구 중계동 62-7번지 상명타운 104호 ,노원구,중계동,16.74,16.74,29376094,207247.5551,460742.5336
닭과함께,서울특별시 노원구 중계동 69번지 수암빌딜 가동 1층 3호,노원구,중계동,30,30,02 9345559,207328.5234,460980.5517
실내포장마차,서울특별시 노원구 중계동 84-20번지 1층(중계로 14라길 9) ,노원구,중계동,36.5,36.5,,207299.3809,461138.9933
낙원,서울특별시 노원구 중계동 84-28번지 ,노원구,중계동,77.51,77.51,,207191.3755,461134.3676
60계치킨서울중계점,서울특별시 노원구 중계동 84-44번지 1층 1-1호,노원구,중계동,19,19,,207162.18,461127.3672
우리동네,서울특별시 노원구 중계동 84-59번지 ,노원구,중계동,27.72,27.72,29528292,207261.0374,461159.6223
낭만을위하여,서울특별시 노원구 중계동 84-7번지 현대프라자 2층 202호 ,노원구,중계동,82.5,82.5,29328253,207191.3755,461134.3676
굽네치킨(중계본동점),서울특별시 노원구 중계동 93-18번지 ,노원구,중계동,59.4,59.4,29524345,207277.3565,461181.3467
또래오래,서울특별시 노원구 중계동 94-8번지 ,노원구,중계동,20.16,20.16,29367688,207220.4979,461260.7658
네네치킨,서울특별시 노원구 하계동 155-1번지 ,노원구,하계동,19.84,19.84,,206263.3369,459449.1333
오이시돈까스,서울특별시 노원구 하계동 155-9번지 ,노원구,하계동,50.9,50.9,,206243.5884,459442.3732
야차,서울특별시 노원구 하계동 158-4번지 1층 ,노원구,하계동,24,24,,206363.6836,459514.0615
하계식당,서울특별시 노원구 하계동 164-4번지 ,노원구,하계동,22,22,29727074,206523.5935,459550.8626
티바두마리치킨,서울특별시 노원구 하계동 167-4번지 1층 ,노원구,하계동,23.1,23.1,,206519.3053,459565.821
BHC치킨,서울특별시 노원구 하계동 167-7번지 지상1층 ,노원구,하계동,30.36,30.36,29759282,206542.772,459576.0083
치킨포차,서울특별시 노원구 하계동 168-2번지 101호,노원구,하계동,50,50,,206464.9919,459562.1504
봉구비어,서울특별시 노원구 하계동 179-8번지 ,노원구,하계동,60.8,60.8,,206296.0196,459596.1121
